"country","region","GII_2012","maternal_mortality_ratio","adolescent_fertility_rate_gii","seats_parlim_female_gii","labor_participation_female_gii","labor_participation_male_gii","ifpri_hunger_index","ifpri_under5_mortality","ifpri_undernourishment","ifpri_under5_underweight","labor_participation_female","labor_participation_total_ilo","labor_participation_total_nat","labor_participation_ratio_ilo","secondary_school_female","secondary_school_male","secondary_school_female_ratio","contraceptive_prevalence","hiv_rate_female","married_by_18_rate","adolescent_fertility_rate","labor_participation_female_ilo","labor_force_female_percent","account_at_financial_inst_female","female_legislators_officials_mgrs","mortality_under5_female","contrib_family_workers_female","credit_card_female","educational_attainment_femae","mortality_rate_female_child","belief_beating_justified","mean_stunting","mean_malnutrition","secondary_education"
"Azerbaijan","Asia",-1.0065562296512,-0.868954215942617,-0.568725583683156,-0.203283453815576,0.160898734526184,-1.25077389706171,-0.898237649115424,0.196657086382987,-1.32677805835183,-0.682779642089461,-0.464370363316787,-0.97545867183841,-1.3597740814364,1.03266904204632,0.509162585865004,0.640152193289309,-0.028489227767002,-0.333632227415038,-1.94235348860979,-0.540159430483687,-0.572209935719959,-0.387263920520947,0.834408644816208,-0.874738833618068,-0.794361475073899,0.185254724530923,-0.319359863166522,-0.6401756823285,1.07508119658779,-0.445233371417033,1.33378479519222,-0.116879343353866,-0.243728790486445,1.05896981031174
"Bangladesh","Asia",1.02175858924053,1.21279671673188,0.644826241624702,0.452953736018599,-0.283710328995446,0.754760517118425,1.52817054589767,0.226042628026422,0.391295872677982,1.98883342286975,-0.620534316550256,0.652867770605863,0.320425058652158,-0.88622439377607,0.467440725553873,-0.0211906917339849,0.678835938051766,0.422983800955568,-0.80870933112457,2.3402004369542,1.15336529497151,0.385189218399972,-1.18323371945094,0.0408459667257429,-0.76750282914028,0.566580072969865,1.47500253701846,-1.03558410026408,-1.12557258224607,0.35551167496597,0.689166338509854,1.61976686495799,2.01490494759654,-0.778909657220869
"Burkina Faso","Africa",1.96830550472334,1.84683253379011,2.26729226893847,-0.327436435676096,1.76755421407026,1.52904912006139,1.99997213937244,3.16459679236991,1.41315683819245,1.14348719933042,1.1876795007036,1.94135439104251,1.40642927030597,0.889601892178585,-3.07807398939963,-3.02126282284891,-1.89402512562102,-1.97860415235677,1.502157721864,1.51289349516338,2.19791301305305,1.90797903582161,0.743123919617286,-1.02764161420589,-0.0992969905486727,2.93889617874488,2.09056065486729,-0.857757813627795,-1.77300825930765,3.20326144476854,2.33575858169314,0.882011690183208,1.25910485836278,-1.82821800373603
"Cambodia","Asia",0.553685938727053,1.31846935290825,-0.51926015602115,0.169175491765983,1.93933498861271,1.05939865598123,1.09006906624253,0.137886003096117,0.424983596815821,1.36678620177477,2.53664801897568,1.66309243668637,2.0711256268865,1.39154525014372,-0.758268818925521,-0.542864239962097,-2.09924965944137,-0.665232039498324,1.10517332758929,-0.00496952222869726,-0.309140212717027,2.01100877606929,1.24253342622079,-1.34277917350867,-1.44004280849097,0.628447017406862,0.350762017995693,-1.05497064382956,-1.49938789229366,0.234851462497298,0.906337262418885,1.2149753680289,1.2750724658818,-1.38146702590154
"Dominican Republic","Americas",0.91774244468198,0.261742991144549,1.81221033444802,0.346536894423868,-0.910204918503199,0.031244937319262,-0.561236510919161,-0.39105374648571,0.234086493368064,-0.698729570835487,-0.258891579126804,0.0161764402502297,0.0570616553265895,-1.24830151685619,0.128161332348106,-0.254963046021235,1.27037758035583,0.82104568966069,0.941603817767833,0.978151070109272,1.51478640135012,-0.360292751795729,-1.22002533104844,0.151149919214144,0.0447130330177744,-0.323179073387667,-0.989705127539435,1.17276442184712,-0.0955135521303057,-0.389544042585339,-0.762086978406049,-1.26818550518985,-0.807917589491925,-0.542020348689416
"Georgia","Asia",0.189629432772126,-0.615339889119327,-0.301612274308328,-1.8704806387997,-0.425176849206874,-0.527258317262547,-0.173685201993459,-0.508595913059449,1.27840594164109,-0.858228858295738,-1.40592001868973,-1.42974018800468,-1.25884474402696,-0.00382054508596972,0.48995392557903,0.648161146050383,-0.0631274608196794,-0.471009292420971,-0.796172981831684,-0.357586284523791,-0.231103936688929,-1.45639940099571,0.547202007150106,0.0422482804027209,-0.441775651083171,-0.700005007685737,0.488963161549607,0.613835210757345,0.951455446922493,-0.475609368961594,-0.658672252735082,-1.04064486740487,-0.959453315750889,1.00650439298599
"Indonesia","Asia",0.772119842300009,1.00145144437914,-0.209276809339252,0.186911632031771,-0.889995415615851,0.742067261332476,-0.0388847467149536,-0.185354954981666,-0.529501920422964,0.537389906981463,0.0068611416652729,0.0841444267849117,0.190222946660129,-1.44731298842114,-0.13893825711574,-0.275113501521712,0.0517350665442152,0.958399068965759,-0.257706931251552,-0.0640373047451343,-0.204860720814982,-0.220582323320102,-1.38118148437052,-0.655148937367529,-0.986549331644774,-0.19607062390802,0.448117038680597,-1.00086354458724,-0.578377899331744,-0.225851166928539,-0.415073121154582,0.844727178067897,0.561226482678422,-0.573817571311088
"Kazakhstan","Asia",-1.12097398866561,-0.78441610700152,-0.763289599153709,0.186911632031771,0.666136306709855,-0.14646064368404,-0.898237649115424,-0.302897121555405,-1.43907047214463,-0.650879784597411,0.24247679984152,-0.231877527384301,-0.0472480173252005,0.997355640951804,0.599668399678026,0.695253773649732,-0.0614826296051947,-0.399952189831695,-0.315015956590458,-0.835498343065871,-0.840926813462898,-0.00643156628639964,1.05142498376341,0.433211114693452,0.319980221198615,-0.557148608713036,-1.08038740247788,0.367514218951636,1.24513260897382,-0.485734701476448,-0.52768026688519,-0.869989389066127,-0.767842025522613,1.26565175735261
"Mongolia","Asia",-0.954548157371929,-0.657608943589876,-0.987532871221465,-0.788576082586597,-0.576748120861976,-1.63157157064022,0.0790656516537387,-0.214740496625101,1.22225973474469,-0.547205247748248,-0.699438164847443,-0.998695559024399,-1.02154458939745,0.771169076359058,0.540733937226544,0.504603259728352,0.943343946391745,0.655482640627678,0.843700899480536,-0.880246663154081,-1.11811039031858,-0.842536510716295,0.402077741066065,2.14759106213665,1.13186147518852,-0.120705437048406,0.371031529358831,-0.697049693627954,0.816626996340124,-0.262977386149669,-0.10023273411186,-0.0142387295704218,-0.544921700943311,0.726688833915278
"Peru","Americas",-0.340852904476481,-0.615339889119327,0.00177568201863625,0.772204260802792,0.787393324033936,0.805533540262227,-0.813987364566359,-0.596752537989754,-0.237541644561689,-0.674804677716449,0.591203727885359,0.444316500057035,0.549124204235144,0.0254149045759175,0.0746976413933438,0.325537627907763,-0.161668296264021,1.7154769685032,-0.541864181890292,-0.19265676191296,-0.0106671329945767,0.415936287369491,-0.203066207824865,-0.728204154696275,-0.516317172679455,-0.559398315783472,-0.334904541976033,0.519420756485468,-0.0736976045510468,-0.287728198963756,-0.759788873391139,0.205882104808531,-0.710233402316726,-0.201790066637531
"Philippines","Asia",-0.0184028563449746,-0.277187453354941,-0.0707736118856379,0.878621102397523,-1.04156668727095,0.132790983606865,0.483467017489254,-0.39105374648571,0.413754355436541,0.664989336949664,-0.522726338674411,-0.309140246648604,-0.201271163647438,-1.21127381251635,0.392936924196784,0.546273532615088,0.818295826434871,0.320093116406297,-0.687524621293343,-0.438133260682568,-0.154161386139703,-0.614360806442711,-1.15858527669348,-0.0114070810074261,2.23848789454717,-0.328803341063758,-0.380509610525852,-0.401333625402377,0.220599712497611,-0.303478716209083,-0.548363212019384,0.460628688415634,0.459472121037589,0.167057715773859
"Trinidad and Tobago","Americas",-1.13137560312146,-0.837252425089706,-0.562130193328221,1.81863653648431,-0.516119612199935,-0.00683483003858833,-0.898237649115424,-0.302897121555405,-0.450897230768005,-0.738604392700549,-0.0102622252131645,-0.025649978852563,0.156932602354491,-0.730680598640492,0.178194194129947,0.0789564667200786,0.577264674971734,-1.34619593931221,0.964885609311763,-0.760321165317679,-0.590736543213267,-0.180665046282556,-0.67650854138584,1.5924723237705,0.709666006216123,-0.597643335980888,-1.03380850350063,1.10671458418769,0.0212659319704332,-0.337229824591929,-0.727615403182393,-1.61196972966934,-0.760327857278366,-0.00782700864533473
"Ukraine","Europe",-0.850532012813378,-0.985194115736624,-0.743503428088907,-1.62217467507866,-0.67779563529871,-1.49194575699476,-0.898237649115424,-0.831836871137232,-1.39415350662751,-0.850253893922726,-0.582726182652837,-0.831389793673958,-0.862638768587533,0.419858049040816,0.594331399470233,0.676456302127232,-0.0318106332318818,0.301144555715823,-0.00817388342173481,-0.757636266112386,-0.834147637304761,-0.65158099129991,1.00182983814022,0.232401127460645,0.601137628493027,-0.936224250081542,-1.08576189028412,1.90748591143824,0.815395896568202,-0.580237804948414,-0.765534135928415,-0.306084330207685,-0.775356193766859,1.08917717180233
