"Country.Name","Country.Code","Indicator.Code","Mean.Stunting"
"Afghanistan","AFG","SH.STA.STNT.FE.ZS",58.5
"Albania","ALB","SH.STA.STNT.FE.ZS",28.4333333333333
"Algeria","DZA","SH.STA.STNT.FE.ZS",19.5666666666667
"Angola","AGO","SH.STA.STNT.FE.ZS",26.1
"Argentina","ARG","SH.STA.STNT.FE.ZS",8.1
"Armenia","ARM","SH.STA.STNT.FE.ZS",18.1
"Azerbaijan","AZE","SH.STA.STNT.FE.ZS",24.35
"Bangladesh","BGD","SH.STA.STNT.FE.ZS",48.3222222222222
"Belarus","BLR","SH.STA.STNT.FE.ZS",4.2
"Belize","BLZ","SH.STA.STNT.FE.ZS",20.25
"Benin","BEN","SH.STA.STNT.FE.ZS",39.5
"Bhutan","BTN","SH.STA.STNT.FE.ZS",32.75
"Bolivia","BOL","SH.STA.STNT.FE.ZS",28.8
"Bosnia and Herzegovina","BIH","SH.STA.STNT.FE.ZS",10.2
"Botswana","BWA","SH.STA.STNT.FE.ZS",27.65
"Brazil","BRA","SH.STA.STNT.FE.ZS",5.8
"Bulgaria","BGR","SH.STA.STNT.FE.ZS",12
"Burkina Faso","BFA","SH.STA.STNT.FE.ZS",36.275
"Burundi","BDI","SH.STA.STNT.FE.ZS",56.95
"Cambodia","KHM","SH.STA.STNT.FE.ZS",41.85
"Cameroon","CMR","SH.STA.STNT.FE.ZS",32.5666666666667
"Central African Republic","CAF","SH.STA.STNT.FE.ZS",42.65
"Chad","TCD","SH.STA.STNT.FE.ZS",40.8
"Chile","CHL","SH.STA.STNT.FE.ZS",1.8
"China","CHN","SH.STA.STNT.FE.ZS",13.6833333333333
"Colombia","COL","SH.STA.STNT.FE.ZS",14.4666666666667
"Comoros","COM","SH.STA.STNT.FE.ZS",47.3
"Congo, Dem. Rep.","ZAR","SH.STA.STNT.FE.ZS",41.4333333333333
"Congo, Rep.","COG","SH.STA.STNT.FE.ZS",29
"Costa Rica","CRI","SH.STA.STNT.FE.ZS",6.6
"Cote d'Ivoire","CIV","SH.STA.STNT.FE.ZS",37.2
"Czech Republic","CZE","SH.STA.STNT.FE.ZS",2.1
"Djibouti","DJI","SH.STA.STNT.FE.ZS",29.6333333333333
"Dominican Republic","DOM","SH.STA.STNT.FE.ZS",8.5
"Ecuador","ECU","SH.STA.STNT.FE.ZS",27.3
"Egypt, Arab Rep.","EGY","SH.STA.STNT.FE.ZS",22.8
"El Salvador","SLV","SH.STA.STNT.FE.ZS",21.65
"Equatorial Guinea","GNQ","SH.STA.STNT.FE.ZS",36.5
"Eritrea","ERI","SH.STA.STNT.FE.ZS",41.8
"Ethiopia","ETH","SH.STA.STNT.FE.ZS",49.2666666666667
"Fiji","FJI","SH.STA.STNT.FE.ZS",6.9
"Gabon","GAB","SH.STA.STNT.FE.ZS",19.35
"Gambia, The","GMB","SH.STA.STNT.FE.ZS",24.35
"Georgia","GEO","SH.STA.STNT.FE.ZS",11.85
"Germany","DEU","SH.STA.STNT.FE.ZS",1.2
"Ghana","GHA","SH.STA.STNT.FE.ZS",28.5333333333333
"Guatemala","GTM","SH.STA.STNT.FE.ZS",50.7
"Guinea","GIN","SH.STA.STNT.FE.ZS",36.3333333333333
"Guinea-Bissau","GNB","SH.STA.STNT.FE.ZS",35.8666666666667
"Guyana","GUY","SH.STA.STNT.FE.ZS",16.2
"Haiti","HTI","SH.STA.STNT.FE.ZS",26.1
"Honduras","HND","SH.STA.STNT.FE.ZS",30.45
"India","IND","SH.STA.STNT.FE.ZS",48
"Indonesia","IDN","SH.STA.STNT.FE.ZS",36.96
"Iraq","IRQ","SH.STA.STNT.FE.ZS",26.9
"Jamaica","JAM","SH.STA.STNT.FE.ZS",4.1375
"Jordan","JOR","SH.STA.STNT.FE.ZS",10.4
"Kazakhstan","KAZ","SH.STA.STNT.FE.ZS",14.95
"Kenya","KEN","SH.STA.STNT.FE.ZS",34.2
"Korea, Dem. Rep.","PRK","SH.STA.STNT.FE.ZS",37.15
"Korea, Rep.","KOR","SH.STA.STNT.FE.ZS",2.5
"Kuwait","KWT","SH.STA.STNT.FE.ZS",3.88333333333333
"Kyrgyz Republic","KGZ","SH.STA.STNT.FE.ZS",17.5
"Lao PDR","LAO","SH.STA.STNT.FE.ZS",46.75
"Lebanon","LBN","SH.STA.STNT.FE.ZS",17
"Lesotho","LSO","SH.STA.STNT.FE.ZS",42.8666666666667
"Liberia","LBR","SH.STA.STNT.FE.ZS",39.1
"Libya","LBY","SH.STA.STNT.FE.ZS",19.6
"Macedonia, FYR","MKD","SH.STA.STNT.FE.ZS",9.6
"Madagascar","MDG","SH.STA.STNT.FE.ZS",49.1
"Malawi","MWI","SH.STA.STNT.FE.ZS",48.68
"Malaysia","MYS","SH.STA.STNT.FE.ZS",17.2
"Maldives","MDV","SH.STA.STNT.FE.ZS",25
"Mali","MLI","SH.STA.STNT.FE.ZS",38.85
"Mauritania","MRT","SH.STA.STNT.FE.ZS",26.4
"Mexico","MEX","SH.STA.STNT.FE.ZS",13.55
"Moldova","MDA","SH.STA.STNT.FE.ZS",11.5
"Mongolia","MNG","SH.STA.STNT.FE.ZS",24.3333333333333
"Montenegro","MNE","SH.STA.STNT.FE.ZS",7.5
"Morocco","MAR","SH.STA.STNT.FE.ZS",17.95
"Mozambique","MOZ","SH.STA.STNT.FE.ZS",42.1
"Myanmar","MMR","SH.STA.STNT.FE.ZS",37.5333333333333
"Namibia","NAM","SH.STA.STNT.FE.ZS",27.85
"Nepal","NPL","SH.STA.STNT.FE.ZS",48.7333333333333
"Nicaragua","NIC","SH.STA.STNT.FE.ZS",20.6333333333333
"Niger","NER","SH.STA.STNT.FE.ZS",52.25
"Nigeria","NGA","SH.STA.STNT.FE.ZS",38.75
"Oman","OMN","SH.STA.STNT.FE.ZS",8.5
"Pakistan","PAK","SH.STA.STNT.FE.ZS",41.4
"Panama","PAN","SH.STA.STNT.FE.ZS",18.9
"Papua New Guinea","PNG","SH.STA.STNT.FE.ZS",39.6
"Peru","PER","SH.STA.STNT.FE.ZS",27.4333333333333
"Philippines","PHL","SH.STA.STNT.FE.ZS",31.7333333333333
"Romania","ROM","SH.STA.STNT.FE.ZS",11.2
"Rwanda","RWA","SH.STA.STNT.FE.ZS",45.7666666666667
"Sao Tome and Principe","STP","SH.STA.STNT.FE.ZS",31.85
"Saudi Arabia","SAU","SH.STA.STNT.FE.ZS",7.8
"Senegal","SEN","SH.STA.STNT.FE.ZS",22.4
"Serbia","SRB","SH.STA.STNT.FE.ZS",7.6
"Sierra Leone","SLE","SH.STA.STNT.FE.ZS",39.425
"Singapore","SGP","SH.STA.STNT.FE.ZS",3.9
"Somalia","SOM","SH.STA.STNT.FE.ZS",41.3
"South Africa","ZAF","SH.STA.STNT.FE.ZS",30.5
"South Sudan","SSD","SH.STA.STNT.FE.ZS",32.9
"Sri Lanka","LKA","SH.STA.STNT.FE.ZS",18.3666666666667
"Sudan","SDN","SH.STA.STNT.FE.ZS",41.7
"Suriname","SUR","SH.STA.STNT.FE.ZS",9.76666666666667
"Swaziland","SWZ","SH.STA.STNT.FE.ZS",29.4333333333333
"Syrian Arab Republic","SYR","SH.STA.STNT.FE.ZS",27.6
"Tajikistan","TJK","SH.STA.STNT.FE.ZS",33.95
"Tanzania","TZA","SH.STA.STNT.FE.ZS",40.5
"Thailand","THA","SH.STA.STNT.FE.ZS",15
"Timor-Leste","TMP","SH.STA.STNT.FE.ZS",53.3333333333333
"Togo","TGO","SH.STA.STNT.FE.ZS",25.9666666666667
"Trinidad and Tobago","TTO","SH.STA.STNT.FE.ZS",3.5
"Tunisia","TUN","SH.STA.STNT.FE.ZS",8
"Turkey","TUR","SH.STA.STNT.FE.ZS",16.6
"Uganda","UGA","SH.STA.STNT.FE.ZS",36.1
"Ukraine","UKR","SH.STA.STNT.FE.ZS",22.8
"United States","USA","SH.STA.STNT.FE.ZS",2.8
"Uruguay","URY","SH.STA.STNT.FE.ZS",12.12
"Uzbekistan","UZB","SH.STA.STNT.FE.ZS",22
"Vanuatu","VUT","SH.STA.STNT.FE.ZS",20
"Vietnam","VNM","SH.STA.STNT.FE.ZS",32.1111111111111
"West Bank and Gaza","WBG","SH.STA.STNT.FE.ZS",11.2
"Yemen, Rep.","YEM","SH.STA.STNT.FE.ZS",56.9
"Zambia","ZMB","SH.STA.STNT.FE.ZS",46.9
"Zimbabwe","ZWE","SH.STA.STNT.FE.ZS",30.9
